"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","A. Brown","WR","PHI","SF","2023-01-29T20:00:00Z","70.5","over","-125","undefined","null","null","under","-107","undefined","null","null"
"recv_yd","D. Goedert","TE","PHI","SF","2023-01-29T20:00:00Z","45.5","over","-117","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Smith","WR","PHI","SF","2023-01-29T20:00:00Z","66.5","over","-115","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","K. Gainwell","RB","PHI","SF","2023-01-29T20:00:00Z","9.5","over","-112","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","M. Sanders","RB","PHI","SF","2023-01-29T20:00:00Z","5.5","over","-102","undefined","null","null","under","-132","undefined","null","null"
"recv_yd","Q. Watkins","WR","PHI","SF","2023-01-29T20:00:00Z","15.5","over","-104","undefined","null","null","under","-130","undefined","null","null"
"recv_yd","B. Aiyuk","WR","SF","PHI","2023-01-29T20:00:00Z","46.5","over","-111","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","C. McCaffrey","RB","SF","PHI","2023-01-29T20:00:00Z","32.5","over","-114","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","D. Samuel","WR","SF","PHI","2023-01-29T20:00:00Z","51.5","over","-114","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","G. Kittle","TE","SF","PHI","2023-01-29T20:00:00Z","45.5","over","-126","undefined","null","null","under","-106","undefined","null","null"
"recv_yd","J. Jennings","WR","SF","PHI","2023-01-29T20:00:00Z","22.5","over","-109","undefined","null","null","under","-124","undefined","null","null"
"recv_yd","K. Juszczyk","RB","SF","PHI","2023-01-29T20:00:00Z","8","over","106","undefined","null","null","under","-136","undefined","null","null"
"recv_yd","H. Hurst","TE","CIN","KC","2023-01-29T23:30:00Z","34.5","over","-119","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","J. Chase","WR","CIN","KC","2023-01-29T23:30:00Z","83.5","over","-124","undefined","null","null","under","-108","undefined","null","null"
"recv_yd","J. Mixon","RB","CIN","KC","2023-01-29T23:30:00Z","22.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","S. Perine","RB","CIN","KC","2023-01-29T23:30:00Z","16.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","T. Higgins","WR","CIN","KC","2023-01-29T23:30:00Z","58.5","over","-121","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","T. Irwin","WR","CIN","KC","2023-01-29T23:30:00Z","7.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","T. Boyd","WR","CIN","KC","2023-01-29T23:30:00Z","33.5","over","-126","undefined","null","null","under","-108","undefined","null","null"
"recv_yd","I. Pacheco","RB","KC","CIN","2023-01-29T23:30:00Z","6.5","over","-115","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","J. McKinnon","RB","KC","CIN","2023-01-29T23:30:00Z","30.5","over","-114","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","J. Smith-Schuster","WR","KC","CIN","2023-01-29T23:30:00Z","48.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","J. Watson","WR","KC","CIN","2023-01-29T23:30:00Z","8.5","over","-110","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","K. Toney","WR","KC","CIN","2023-01-29T23:30:00Z","35.5","over","-110","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","M. Valdes-Scantling","WR","KC","CIN","2023-01-29T23:30:00Z","27.5","over","-103","undefined","null","null","under","-130","undefined","null","null"
"recv_yd","N. Gray","TE","KC","CIN","2023-01-29T23:30:00Z","12.5","over","-122","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","T. Kelce","TE","KC","CIN","2023-01-29T23:30:00Z","78.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
