"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","C. Kirk","WR","JAX","KC","2023-01-21T21:30:00Z","63.5","over","-126","undefined","null","null","under","-107","undefined","null","null"
"recv_yd","E. Engram","TE","JAX","KC","2023-01-21T21:30:00Z","48.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","J. Agnew","WR","JAX","KC","2023-01-21T21:30:00Z","5.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","M. Jones Jr.","WR","JAX","KC","2023-01-21T21:30:00Z","28.5","over","-110","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","T. Etienne","RB","JAX","KC","2023-01-21T21:30:00Z","17.5","over","-119","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","Z. Jones","WR","JAX","KC","2023-01-21T21:30:00Z","54.5","over","-113","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","J. McKinnon","RB","KC","JAX","2023-01-21T21:30:00Z","33.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","J. Smith-Schuster","WR","KC","JAX","2023-01-21T21:30:00Z","52.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","M. Valdes-Scantling","WR","KC","JAX","2023-01-21T21:30:00Z","32.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","N. Gray","TE","KC","JAX","2023-01-21T21:30:00Z","15.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","T. Kelce","TE","KC","JAX","2023-01-21T21:30:00Z","79.5","over","-124","undefined","null","null","under","-109","undefined","null","null"
"recv_yd","D. Bellinger","TE","NYG","PHI","2023-01-22T01:15:00Z","24.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. Slayton","WR","NYG","PHI","2023-01-22T01:15:00Z","44.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","I. Hodgins","WR","NYG","PHI","2023-01-22T01:15:00Z","45.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","R. James Jr.","WR","NYG","PHI","2023-01-22T01:15:00Z","42.5","over","-120","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","S. Barkley","RB","NYG","PHI","2023-01-22T01:15:00Z","24.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","A. Brown","WR","PHI","NYG","2023-01-22T01:15:00Z","69.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","D. Goedert","TE","PHI","NYG","2023-01-22T01:15:00Z","47.5","over","-133","undefined","null","null","under","-101","undefined","null","null"
"recv_yd","D. Smith","WR","PHI","NYG","2023-01-22T01:15:00Z","63.5","over","-124","undefined","null","null","under","-109","undefined","null","null"
"recv_yd","D. Knox","TE","BUF","CIN","2023-01-22T20:00:00Z","34.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","G. Davis","WR","BUF","CIN","2023-01-22T20:00:00Z","56.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","S. Diggs","WR","BUF","CIN","2023-01-22T20:00:00Z","81.5","over","-117","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","J. Chase","WR","CIN","BUF","2023-01-22T20:00:00Z","83.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","T. Higgins","WR","CIN","BUF","2023-01-22T20:00:00Z","64.5","over","-117","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","T. Boyd","WR","CIN","BUF","2023-01-22T20:00:00Z","35.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","C. Lamb","WR","DAL","SF","2023-01-22T23:30:00Z","77.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Schultz","TE","DAL","SF","2023-01-22T23:30:00Z","42.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","M. Gallup","WR","DAL","SF","2023-01-22T23:30:00Z","36.5","over","-115","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","B. Aiyuk","WR","SF","DAL","2023-01-22T23:30:00Z","53.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","C. McCaffrey","RB","SF","DAL","2023-01-22T23:30:00Z","34.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","D. Samuel","WR","SF","DAL","2023-01-22T23:30:00Z","54.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","G. Kittle","TE","SF","DAL","2023-01-22T23:30:00Z","49.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
