"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","D. Knox","TE","BUF","CIN","2023-01-22T20:00:00Z","37.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","D. Singletary","RB","BUF","CIN","2023-01-22T20:00:00Z","8.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","G. Davis","WR","BUF","CIN","2023-01-22T20:00:00Z","57.5","over","-110","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","J. Cook","RB","BUF","CIN","2023-01-22T20:00:00Z","8.5","over","-108","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","S. Diggs","WR","BUF","CIN","2023-01-22T20:00:00Z","80.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","H. Hurst","TE","CIN","BUF","2023-01-22T20:00:00Z","33.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","J. Chase","WR","CIN","BUF","2023-01-22T20:00:00Z","84.5","over","-117","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","J. Mixon","RB","CIN","BUF","2023-01-22T20:00:00Z","25.5","over","-117","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","S. Perine","RB","CIN","BUF","2023-01-22T20:00:00Z","12.5","over","-117","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","T. Higgins","WR","CIN","BUF","2023-01-22T20:00:00Z","65.5","over","-117","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","T. Boyd","WR","CIN","BUF","2023-01-22T20:00:00Z","36.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","C. Lamb","WR","DAL","SF","2023-01-22T23:30:00Z","75.5","over","-122","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","D. Schultz","TE","DAL","SF","2023-01-22T23:30:00Z","42.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","E. Elliott","RB","DAL","SF","2023-01-22T23:30:00Z","4.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","J. Ferguson","TE","DAL","SF","2023-01-22T23:30:00Z","3.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","M. Gallup","WR","DAL","SF","2023-01-22T23:30:00Z","35.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","N. Brown","WR","DAL","SF","2023-01-22T23:30:00Z","12.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Hilton","WR","DAL","SF","2023-01-22T23:30:00Z","26.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","T. Pollard","RB","DAL","SF","2023-01-22T23:30:00Z","18.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","B. Aiyuk","WR","SF","DAL","2023-01-22T23:30:00Z","52.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","C. McCaffrey","RB","SF","DAL","2023-01-22T23:30:00Z","34.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","D. Samuel","WR","SF","DAL","2023-01-22T23:30:00Z","56.5","over","-115","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","G. Kittle","TE","SF","DAL","2023-01-22T23:30:00Z","45.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","J. Jennings","WR","SF","DAL","2023-01-22T23:30:00Z","18.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","K. Juszczyk","RB","SF","DAL","2023-01-22T23:30:00Z","3.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
