"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","D. Metcalf","WR","SEA","SF","2022-12-16T01:15:00Z","65.5","over","-115","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","K. Walker III","RB","SEA","SF","2022-12-16T01:15:00Z","8.5","over","-110","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","M. Goodwin","WR","SEA","SF","2022-12-16T01:15:00Z","26.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","N. Fant","TE","SEA","SF","2022-12-16T01:15:00Z","27.5","over","-108","undefined","null","null","under","-124","undefined","null","null"
"recv_yd","T. Lockett","WR","SEA","SF","2022-12-16T01:15:00Z","64.5","over","-117","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","W. Dissly","TE","SEA","SF","2022-12-16T01:15:00Z","16.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","B. Aiyuk","WR","SF","SEA","2022-12-16T01:15:00Z","53.5","over","-113","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","C. McCaffrey","RB","SF","SEA","2022-12-16T01:15:00Z","39.5","over","-117","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","G. Kittle","TE","SF","SEA","2022-12-16T01:15:00Z","42.5","over","-122","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","J. Jennings","WR","SF","SEA","2022-12-16T01:15:00Z","28.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","K. Juszczyk","RB","SF","SEA","2022-12-16T01:15:00Z","7.5","over","-128","undefined","null","null","under","-105","undefined","null","null"
"recv_yd","R. McCloud III","WR","SF","SEA","2022-12-16T01:15:00Z","16.5","over","-108","undefined","null","null","under","-124","undefined","null","null"
"recv_yd","A. Pierce","WR","IND","MIN","2022-12-17T18:00:00Z","38.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","J. Taylor","RB","IND","MIN","2022-12-17T18:00:00Z","18.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","K. Granson","TE","IND","MIN","2022-12-17T18:00:00Z","17.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","M. Pittman Jr.","WR","IND","MIN","2022-12-17T18:00:00Z","68.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","P. Campbell","WR","IND","MIN","2022-12-17T18:00:00Z","45.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","A. Thielen","WR","MIN","IND","2022-12-17T18:00:00Z","53.5","over","-111","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","D. Cook","RB","MIN","IND","2022-12-17T18:00:00Z","15.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","J. Jefferson","WR","MIN","IND","2022-12-17T18:00:00Z","93.5","over","-120","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","K. Osborn","WR","MIN","IND","2022-12-17T18:00:00Z","24.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","T. Hockenson","TE","MIN","IND","2022-12-17T18:00:00Z","48.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","D. Robinson","WR","BLT","CLV","2022-12-17T21:30:00Z","36.5","over","-113","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","D. Duvernay","WR","BLT","CLV","2022-12-17T21:30:00Z","22.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","M. Andrews","TE","BLT","CLV","2022-12-17T21:30:00Z","51.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","A. Cooper","WR","CLV","BLT","2022-12-17T21:30:00Z","57.5","over","-109","undefined","null","null","under","-125","undefined","null","null"
"recv_yd","D. Njoku","TE","CLV","BLT","2022-12-17T21:30:00Z","38.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","D. Peoples-Jones","WR","CLV","BLT","2022-12-17T21:30:00Z","48.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","K. Hunt","RB","CLV","BLT","2022-12-17T21:30:00Z","10.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","N. Chubb","RB","CLV","BLT","2022-12-17T21:30:00Z","9.5","over","-110","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","D. Knox","TE","BUF","MIA","2022-12-18T01:15:00Z","27.5","over","-115","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. Singletary","RB","BUF","MIA","2022-12-18T01:15:00Z","10.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","G. Davis","WR","BUF","MIA","2022-12-18T01:15:00Z","38.5","over","-113","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","I. McKenzie","WR","BUF","MIA","2022-12-18T01:15:00Z","29.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","J. Cook","RB","BUF","MIA","2022-12-18T01:15:00Z","11.5","over","-122","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","S. Diggs","WR","BUF","MIA","2022-12-18T01:15:00Z","74.5","over","-124","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","J. Waddle","WR","MIA","BUF","2022-12-18T01:15:00Z","56.5","over","-112","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","M. Gesicki","TE","MIA","BUF","2022-12-18T01:15:00Z","16.5","over","-110","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","T. Sherfield","WR","MIA","BUF","2022-12-18T01:15:00Z","24.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Hill","WR","MIA","BUF","2022-12-18T01:15:00Z","75.5","over","-114","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","C. Claypool","WR","CHI","PHI","2022-12-18T18:00:00Z","32.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","C. Kmet","TE","CHI","PHI","2022-12-18T18:00:00Z","34.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. Montgomery","RB","CHI","PHI","2022-12-18T18:00:00Z","14.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","E. St. Brown","WR","CHI","PHI","2022-12-18T18:00:00Z","18.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","A. Brown","WR","PHI","CHI","2022-12-18T18:00:00Z","68.5","over","-127","undefined","null","null","under","-106","undefined","null","null"
"recv_yd","D. Smith","WR","PHI","CHI","2022-12-18T18:00:00Z","55.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","M. Sanders","RB","PHI","CHI","2022-12-18T18:00:00Z","7.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
