"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","C. Sutton","WR","DEN","JAX","2022-10-30T13:30:00Z","54.5","over","-129","undefined","null","null","under","-106","undefined","null","null"
"recv_yd","G. Dulcich","TE","DEN","JAX","2022-10-30T13:30:00Z","33.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","J. Jeudy","WR","DEN","JAX","2022-10-30T13:30:00Z","47.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","K. Hamler","WR","DEN","JAX","2022-10-30T13:30:00Z","17.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","L. Murray","RB","DEN","JAX","2022-10-30T13:30:00Z","6.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","M. Gordon III","RB","DEN","JAX","2022-10-30T13:30:00Z","12.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","C. Kirk","WR","JAX","DEN","2022-10-30T13:30:00Z","52.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","E. Engram","TE","JAX","DEN","2022-10-30T13:30:00Z","30.5","over","-113","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","M. Jones Jr.","WR","JAX","DEN","2022-10-30T13:30:00Z","28.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","T. Etienne","RB","JAX","DEN","2022-10-30T13:30:00Z","19.5","over","-125","undefined","null","null","under","-108","undefined","null","null"
"recv_yd","Z. Jones","WR","JAX","DEN","2022-10-30T13:30:00Z","42.5","over","-111","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","C. Kmet","TE","CHI","DAL","2022-10-30T17:00:00Z","24.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. Mooney","WR","CHI","DAL","2022-10-30T17:00:00Z","42.5","over","-117","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Montgomery","RB","CHI","DAL","2022-10-30T17:00:00Z","8.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","E. St. Brown","WR","CHI","DAL","2022-10-30T17:00:00Z","19.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","K. Herbert","RB","CHI","DAL","2022-10-30T17:00:00Z","5.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","C. Lamb","WR","DAL","CHI","2022-10-30T17:00:00Z","71.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","D. Hopkins","WR","ARZ","MIN","2022-10-30T17:00:00Z","73.5","over","-128","undefined","null","null","under","-107","undefined","null","null"
"recv_yd","E. Benjamin","RB","ARZ","MIN","2022-10-30T17:00:00Z","22.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","R. Moore","WR","ARZ","MIN","2022-10-30T17:00:00Z","41.5","over","-102","undefined","null","null","under","-132","undefined","null","null"
"recv_yd","Z. Ertz","TE","ARZ","MIN","2022-10-30T17:00:00Z","38.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","A. Thielen","WR","MIN","ARZ","2022-10-30T17:00:00Z","50.5","over","-119","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","D. Cook","RB","MIN","ARZ","2022-10-30T17:00:00Z","12.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","I. Smith Jr.","TE","MIN","ARZ","2022-10-30T17:00:00Z","30.5","over","-113","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","J. Jefferson","WR","MIN","ARZ","2022-10-30T17:00:00Z","89.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","K. Osborn","WR","MIN","ARZ","2022-10-30T17:00:00Z","31.5","over","-115","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","A. St. Brown","WR","DET","MIA","2022-10-30T17:00:00Z","64.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Swift","RB","DET","MIA","2022-10-30T17:00:00Z","24.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","J. Reynolds","WR","DET","MIA","2022-10-30T17:00:00Z","39.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","K. Raymond","WR","DET","MIA","2022-10-30T17:00:00Z","29.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","T. Hockenson","TE","DET","MIA","2022-10-30T17:00:00Z","42.5","over","-114","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","J. Waddle","WR","MIA","DET","2022-10-30T17:00:00Z","64.5","over","-130","undefined","null","null","under","-103","undefined","null","null"
"recv_yd","M. Gesicki","TE","MIA","DET","2022-10-30T17:00:00Z","26.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","R. Mostert","RB","MIA","DET","2022-10-30T17:00:00Z","13.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Sherfield","WR","MIA","DET","2022-10-30T17:00:00Z","21.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","T. Hill","WR","MIA","DET","2022-10-30T17:00:00Z","88.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","D. London","WR","ATL","CAR","2022-10-30T17:00:00Z","39.5","over","-120","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","K. Pitts","TE","ATL","CAR","2022-10-30T17:00:00Z","34.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","O. Zaccheaus","WR","ATL","CAR","2022-10-30T17:00:00Z","37.5","over","-110","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","D. Foreman","RB","CAR","ATL","2022-10-30T17:00:00Z","10.5","over","-124","undefined","null","null","under","-108","undefined","null","null"
"recv_yd","D. Moore","WR","CAR","ATL","2022-10-30T17:00:00Z","60.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Marshall Jr.","WR","CAR","ATL","2022-10-30T17:00:00Z","27.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","D. Parker","WR","NE","NYJ","2022-10-30T17:00:00Z","31.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","H. Henry","TE","NE","NYJ","2022-10-30T17:00:00Z","24.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","J. Meyers","WR","NE","NYJ","2022-10-30T17:00:00Z","50.5","over","-122","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","J. Smith","TE","NE","NYJ","2022-10-30T17:00:00Z","8.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","R. Stevenson","RB","NE","NYJ","2022-10-30T17:00:00Z","18.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","T. Thornton","WR","NE","NYJ","2022-10-30T17:00:00Z","31.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","B. Berrios","WR","NYJ","NE","2022-10-30T17:00:00Z","16.5","over","-118","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","C. Uzomah","TE","NYJ","NE","2022-10-30T17:00:00Z","7.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","E. Moore","WR","NYJ","NE","2022-10-30T17:00:00Z","31.5","over","-125","undefined","null","null","under","-108","undefined","null","null"
"recv_yd","G. Wilson","WR","NYJ","NE","2022-10-30T17:00:00Z","38.5","over","-110","undefined","null","null","under","-124","undefined","null","null"
"recv_yd","T. Conklin","TE","NYJ","NE","2022-10-30T17:00:00Z","19.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Adams","WR","LV","NO","2022-10-30T17:00:00Z","83.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","H. Renfrow","WR","LV","NO","2022-10-30T17:00:00Z","40.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","J. Jacobs","RB","LV","NO","2022-10-30T17:00:00Z","19.5","over","-110","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","A. Kamara","RB","NO","LV","2022-10-30T17:00:00Z","38.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","C. Olave","WR","NO","LV","2022-10-30T17:00:00Z","66.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","M. Callaway","WR","NO","LV","2022-10-30T17:00:00Z","39.5","over","102","undefined","null","null","under","-138","undefined","null","null"
"recv_yd","T. Smith","WR","NO","LV","2022-10-30T17:00:00Z","33.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","A. Brown","WR","PHI","PIT","2022-10-30T17:00:00Z","69.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","D. Goedert","TE","PHI","PIT","2022-10-30T17:00:00Z","45.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
