"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","I. Pacheco","RB","KC","LV","2023-01-07T21:30:00Z","11.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","J. McKinnon","RB","KC","LV","2023-01-07T21:30:00Z","36.5","over","-113","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","J. Smith-Schuster","WR","KC","LV","2023-01-07T21:30:00Z","54.5","over","-112","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","J. Watson","WR","KC","LV","2023-01-07T21:30:00Z","18.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","K. Toney","WR","KC","LV","2023-01-07T21:30:00Z","34.5","over","-123","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","M. Valdes-Scantling","WR","KC","LV","2023-01-07T21:30:00Z","35.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","N. Gray","TE","KC","LV","2023-01-07T21:30:00Z","14.5","over","-117","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Kelce","TE","KC","LV","2023-01-07T21:30:00Z","77.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. Waller","TE","LV","KC","2023-01-07T21:30:00Z","36.5","over","-115","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Adams","WR","LV","KC","2023-01-07T21:30:00Z","77.5","over","-111","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","H. Renfrow","WR","LV","KC","2023-01-07T21:30:00Z","26.5","over","-114","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","M. Hollins","WR","LV","KC","2023-01-07T21:30:00Z","34.5","over","-108","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","C. Kirk","WR","JAX","TEN","2023-01-08T01:15:00Z","62.5","over","-113","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","E. Engram","TE","JAX","TEN","2023-01-08T01:15:00Z","50.5","over","-125","undefined","null","null","under","-107","undefined","null","null"
"recv_yd","J. Hasty","RB","JAX","TEN","2023-01-08T01:15:00Z","8.5","over","-113","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","J. Agnew","WR","JAX","TEN","2023-01-08T01:15:00Z","7.5","over","-110","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","M. Jones Jr.","WR","JAX","TEN","2023-01-08T01:15:00Z","28.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","T. Etienne","RB","JAX","TEN","2023-01-08T01:15:00Z","14.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","Z. Jones","WR","JAX","TEN","2023-01-08T01:15:00Z","56.5","over","-128","undefined","null","null","under","-106","undefined","null","null"
"recv_yd","A. Hooper","TE","TEN","JAX","2023-01-08T01:15:00Z","24.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","C. Okonkwo","TE","TEN","JAX","2023-01-08T01:15:00Z","24.5","over","-126","undefined","null","null","under","-107","undefined","null","null"
"recv_yd","D. Henry","RB","TEN","JAX","2023-01-08T01:15:00Z","16.5","over","-115","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","N. Westbrook-Ikhine","WR","TEN","JAX","2023-01-08T01:15:00Z","19.5","over","-110","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","R. Woods","WR","TEN","JAX","2023-01-08T01:15:00Z","33.5","over","-114","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Burks","WR","TEN","JAX","2023-01-08T01:15:00Z","37.5","over","-114","undefined","null","null","under","-114","undefined","null","null"
