"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","A. Cooper","WR","CLV","PIT","2023-01-08T18:00:00Z","64.5","over","-116","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","D. Njoku","TE","CLV","PIT","2023-01-08T18:00:00Z","36.5","over","-119","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","D. Peoples-Jones","WR","CLV","PIT","2023-01-08T18:00:00Z","36.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Johnson","WR","PIT","CLV","2023-01-08T18:00:00Z","53.5","over","-118","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","G. Pickens","WR","PIT","CLV","2023-01-08T18:00:00Z","37.5","over","-120","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","N. Harris","RB","PIT","CLV","2023-01-08T18:00:00Z","12.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","P. Freiermuth","TE","PIT","CLV","2023-01-08T18:00:00Z","42.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","J. Waddle","WR","MIA","NYJ","2023-01-08T18:00:00Z","47.5","over","-115","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Hill","WR","MIA","NYJ","2023-01-08T18:00:00Z","66.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","C. Davis","WR","NYJ","MIA","2023-01-08T18:00:00Z","35.5","over","-116","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","E. Moore","WR","NYJ","MIA","2023-01-08T18:00:00Z","27.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","G. Wilson","WR","NYJ","MIA","2023-01-08T18:00:00Z","55.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","T. Conklin","TE","NYJ","MIA","2023-01-08T18:00:00Z","26.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","D. Knox","TE","BUF","NE","2023-01-08T18:00:00Z","38.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","D. Singletary","RB","BUF","NE","2023-01-08T18:00:00Z","8.5","over","-120","undefined","null","null","under","-109","undefined","null","null"
"recv_yd","G. Davis","WR","BUF","NE","2023-01-08T18:00:00Z","47.5","over","-117","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","I. McKenzie","WR","BUF","NE","2023-01-08T18:00:00Z","30.5","over","-115","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","J. Cook","RB","BUF","NE","2023-01-08T18:00:00Z","10.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","S. Diggs","WR","BUF","NE","2023-01-08T18:00:00Z","71.5","over","-132","undefined","null","null","under","-103","undefined","null","null"
"recv_yd","H. Henry","TE","NE","BUF","2023-01-08T18:00:00Z","37.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","J. Meyers","WR","NE","BUF","2023-01-08T18:00:00Z","48.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","R. Stevenson","RB","NE","BUF","2023-01-08T18:00:00Z","21.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","H. Hurst","TE","CIN","BLT","2023-01-08T18:00:00Z","29.5","over","-124","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","J. Chase","WR","CIN","BLT","2023-01-08T18:00:00Z","81.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","T. Higgins","WR","CIN","BLT","2023-01-08T18:00:00Z","66.5","over","-114","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","T. Boyd","WR","CIN","BLT","2023-01-08T18:00:00Z","30.5","over","-124","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","C. Lamb","WR","DAL","WAS","2023-01-08T21:25:00Z","65.5","over","-116","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","D. Schultz","TE","DAL","WAS","2023-01-08T21:25:00Z","39.5","over","-114","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","M. Gallup","WR","DAL","WAS","2023-01-08T21:25:00Z","35.5","over","-103","undefined","null","null","under","-131","undefined","null","null"
