"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","C. Kirk","WR","JAX","NYJ","2022-12-23T01:15:00Z","49.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","E. Engram","TE","JAX","NYJ","2022-12-23T01:15:00Z","39.5","over","-115","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","J. Agnew","WR","JAX","NYJ","2022-12-23T01:15:00Z","8.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","M. Jones Jr.","WR","JAX","NYJ","2022-12-23T01:15:00Z","20.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","T. Etienne","RB","JAX","NYJ","2022-12-23T01:15:00Z","13.5","over","-102","undefined","null","null","under","-131","undefined","null","null"
"recv_yd","Z. Jones","WR","JAX","NYJ","2022-12-23T01:15:00Z","44.5","over","-108","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","C. Uzomah","TE","NYJ","JAX","2022-12-23T01:15:00Z","9.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","G. Wilson","WR","NYJ","JAX","2022-12-23T01:15:00Z","53.5","over","-108","undefined","null","null","under","-124","undefined","null","null"
"recv_yd","M. Carter","RB","NYJ","JAX","2022-12-23T01:15:00Z","10.5","over","-116","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","T. Conklin","TE","NYJ","JAX","2022-12-23T01:15:00Z","22.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","Z. Knight","RB","NYJ","JAX","2022-12-23T01:15:00Z","9.5","over","-110","undefined","null","null","under","-120","undefined","null","null"
