"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","C. Lamb","WR","DAL","TEN","2022-12-30T01:15:00Z","73.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","D. Schultz","TE","DAL","TEN","2022-12-30T01:15:00Z","40.5","over","-113","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","E. Elliott","RB","DAL","TEN","2022-12-30T01:15:00Z","8.5","over","-110","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","J. Ferguson","TE","DAL","TEN","2022-12-30T01:15:00Z","7.5","over","-108","undefined","null","null","under","-125","undefined","null","null"
"recv_yd","M. Gallup","WR","DAL","TEN","2022-12-30T01:15:00Z","34.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","N. Brown","WR","DAL","TEN","2022-12-30T01:15:00Z","19.5","over","-114","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","A. Hooper","TE","TEN","DAL","2022-12-30T01:15:00Z","21.5","over","-109","undefined","null","null","under","-125","undefined","null","null"
"recv_yd","C. Okonkwo","TE","TEN","DAL","2022-12-30T01:15:00Z","21.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","H. Haskins","RB","TEN","DAL","2022-12-30T01:15:00Z","9.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","N. Westbrook-Ikhine","WR","TEN","DAL","2022-12-30T01:15:00Z","20.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","R. Woods","WR","TEN","DAL","2022-12-30T01:15:00Z","29.5","over","-110","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","T. Burks","WR","TEN","DAL","2022-12-30T01:15:00Z","26.5","over","-118","undefined","null","null","under","-115","undefined","null","null"
