"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","C. Parkinson","TE","SEA","SF","2023-01-14T21:30:00Z","18.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","D. Metcalf","WR","SEA","SF","2023-01-14T21:30:00Z","62.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","K. Walker III","RB","SEA","SF","2023-01-14T21:30:00Z","10.5","over","-110","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","N. Fant","TE","SEA","SF","2023-01-14T21:30:00Z","25.5","over","-108","undefined","null","null","under","-124","undefined","null","null"
"recv_yd","T. Lockett","WR","SEA","SF","2023-01-14T21:30:00Z","59.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","B. Aiyuk","WR","SF","SEA","2023-01-14T21:30:00Z","45.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","C. McCaffrey","RB","SF","SEA","2023-01-14T21:30:00Z","38.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","D. Samuel","WR","SF","SEA","2023-01-14T21:30:00Z","42.5","over","-117","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","G. Kittle","TE","SF","SEA","2023-01-14T21:30:00Z","42.5","over","-124","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","C. Kirk","WR","JAX","LAC","2023-01-15T01:15:00Z","58.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","E. Engram","TE","JAX","LAC","2023-01-15T01:15:00Z","41.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","M. Jones Jr.","WR","JAX","LAC","2023-01-15T01:15:00Z","27.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Etienne","RB","JAX","LAC","2023-01-15T01:15:00Z","15.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","Z. Jones","WR","JAX","LAC","2023-01-15T01:15:00Z","48.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","A. Ekeler","RB","LAC","JAX","2023-01-15T01:15:00Z","36.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
