"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","A. Pierce","WR","IND","LAC","2022-12-27T01:15:00Z","37.5","over","-110","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","D. Jackson","RB","IND","LAC","2022-12-27T01:15:00Z","11.5","over","-122","undefined","null","null","under","-108","undefined","null","null"
"recv_yd","J. Woods","TE","IND","LAC","2022-12-27T01:15:00Z","23.5","over","-136","undefined","null","null","under","102","undefined","null","null"
"recv_yd","M. Pittman Jr.","WR","IND","LAC","2022-12-27T01:15:00Z","64.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","M. Alie-Cox","TE","IND","LAC","2022-12-27T01:15:00Z","10.5","over","-121","undefined","null","null","under","-105","undefined","null","null"
"recv_yd","P. Campbell","WR","IND","LAC","2022-12-27T01:15:00Z","38.5","over","-108","undefined","null","null","under","-126","undefined","null","null"
"recv_yd","Z. Moss","RB","IND","LAC","2022-12-27T01:15:00Z","8.5","over","-110","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","A. Ekeler","RB","LAC","IND","2022-12-27T01:15:00Z","35.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","D. Carter","WR","LAC","IND","2022-12-27T01:15:00Z","10.5","over","135","undefined","null","null","under","-175","undefined","null","null"
"recv_yd","D. Parham","TE","LAC","IND","2022-12-27T01:15:00Z","7.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","G. Everett","TE","LAC","IND","2022-12-27T01:15:00Z","30.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","J. Palmer","WR","LAC","IND","2022-12-27T01:15:00Z","37.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","J. Kelley","RB","LAC","IND","2022-12-27T01:15:00Z","6.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","K. Allen","WR","LAC","IND","2022-12-27T01:15:00Z","62.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","M. Williams","WR","LAC","IND","2022-12-27T01:15:00Z","58.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
