"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","J. Chase","WR","CIN","NE","2022-12-24T18:00:00Z","71.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","J. Mixon","RB","CIN","NE","2022-12-24T18:00:00Z","19.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","T. Higgins","WR","CIN","NE","2022-12-24T18:00:00Z","60.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Knox","TE","BUF","CHI","2022-12-24T18:00:00Z","29.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","D. Singletary","RB","BUF","CHI","2022-12-24T18:00:00Z","8.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","J. Cook","RB","BUF","CHI","2022-12-24T18:00:00Z","10.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","S. Diggs","WR","BUF","CHI","2022-12-24T18:00:00Z","63.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","C. Patterson","RB","ATL","BLT","2022-12-24T18:00:00Z","7.5","over","-110","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","D. London","WR","ATL","BLT","2022-12-24T18:00:00Z","45.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","M. Pruitt","TE","ATL","BLT","2022-12-24T18:00:00Z","9.5","over","-110","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","O. Zaccheaus","WR","ATL","BLT","2022-12-24T18:00:00Z","21.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","P. Hesse","TE","ATL","BLT","2022-12-24T18:00:00Z","4.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","D. Robinson","WR","BLT","ATL","2022-12-24T18:00:00Z","35.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","M. Andrews","TE","BLT","ATL","2022-12-24T18:00:00Z","45.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","A. Thielen","WR","MIN","NYG","2022-12-24T18:00:00Z","46.5","over","-115","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. Cook","RB","MIN","NYG","2022-12-24T18:00:00Z","17.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","J. Jefferson","WR","MIN","NYG","2022-12-24T18:00:00Z","89.5","over","-122","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","K. Osborn","WR","MIN","NYG","2022-12-24T18:00:00Z","32.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","T. Hockenson","TE","MIN","NYG","2022-12-24T18:00:00Z","48.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","D. Bellinger","TE","NYG","MIN","2022-12-24T18:00:00Z","27.5","over","-113","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","D. Slayton","WR","NYG","MIN","2022-12-24T18:00:00Z","48.5","over","-126","undefined","null","null","under","-107","undefined","null","null"
"recv_yd","I. Hodgins","WR","NYG","MIN","2022-12-24T18:00:00Z","34.5","over","-119","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","R. James Jr.","WR","NYG","MIN","2022-12-24T18:00:00Z","38.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","S. Barkley","RB","NYG","MIN","2022-12-24T18:00:00Z","24.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","K. Hunt","RB","CLV","NO","2022-12-24T18:00:00Z","8.5","over","-120","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","N. Chubb","RB","CLV","NO","2022-12-24T18:00:00Z","6.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","J. Smith-Schuster","WR","KC","SEA","2022-12-24T18:00:00Z","56.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Kelce","TE","KC","SEA","2022-12-24T18:00:00Z","76.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","D. Metcalf","WR","SEA","KC","2022-12-24T18:00:00Z","76.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","B. Aiyuk","WR","SF","WAS","2022-12-24T21:05:00Z","50.5","over","-116","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","C. McCaffrey","RB","SF","WAS","2022-12-24T21:05:00Z","36.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","G. Kittle","TE","SF","WAS","2022-12-24T21:05:00Z","42.5","over","-118","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","K. Juszczyk","RB","SF","WAS","2022-12-24T21:05:00Z","7.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","C. Samuel","WR","WAS","SF","2022-12-24T21:05:00Z","30.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","T. McLaurin","WR","WAS","SF","2022-12-24T21:05:00Z","59.5","over","-121","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","D. Adams","WR","LV","PIT","2022-12-25T01:15:00Z","71.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
