"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","D. Knox","TE","BUF","CIN","2023-01-03T01:30:00Z","37.5","over","-111","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","D. Singletary","RB","BUF","CIN","2023-01-03T01:30:00Z","10.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","G. Davis","WR","BUF","CIN","2023-01-03T01:30:00Z","45.5","over","-113","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","I. McKenzie","WR","BUF","CIN","2023-01-03T01:30:00Z","23.5","over","-110","undefined","null","null","under","-122","undefined","null","null"
"recv_yd","J. Cook","RB","BUF","CIN","2023-01-03T01:30:00Z","10.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","S. Diggs","WR","BUF","CIN","2023-01-03T01:30:00Z","72.5","over","-120","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","H. Hurst","TE","CIN","BUF","2023-01-03T01:30:00Z","29.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","J. Chase","WR","CIN","BUF","2023-01-03T01:30:00Z","82.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","J. Mixon","RB","CIN","BUF","2023-01-03T01:30:00Z","25.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","T. Higgins","WR","CIN","BUF","2023-01-03T01:30:00Z","69.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","T. Boyd","WR","CIN","BUF","2023-01-03T01:30:00Z","35.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
