"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","B. Cooks","WR","HST","JAX","2023-01-01T18:00:00Z","47.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","C. Moore","WR","HST","JAX","2023-01-01T18:00:00Z","35.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","C. Kirk","WR","JAX","HST","2023-01-01T18:00:00Z","50.5","over","-115","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","E. Engram","TE","JAX","HST","2023-01-01T18:00:00Z","47.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","T. Etienne","RB","JAX","HST","2023-01-01T18:00:00Z","12.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","Z. Jones","WR","JAX","HST","2023-01-01T18:00:00Z","45.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","A. St. Brown","WR","DET","CHI","2023-01-01T18:00:00Z","82.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","D. Swift","RB","DET","CHI","2023-01-01T18:00:00Z","23.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","I. Pacheco","RB","KC","DEN","2023-01-01T18:00:00Z","10.5","over","-105","undefined","null","null","under","-127","undefined","null","null"
"recv_yd","J. McKinnon","RB","KC","DEN","2023-01-01T18:00:00Z","31.5","over","-113","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","T. Kelce","TE","KC","DEN","2023-01-01T18:00:00Z","72.5","over","-117","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","J. Conner","RB","ARZ","ATL","2023-01-01T18:00:00Z","20.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. London","WR","ATL","ARZ","2023-01-01T18:00:00Z","58.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","O. Zaccheaus","WR","ATL","ARZ","2023-01-01T18:00:00Z","24.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","A. Pierce","WR","IND","NYG","2023-01-01T18:00:00Z","33.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","M. Pittman Jr.","WR","IND","NYG","2023-01-01T18:00:00Z","57.5","over","-114","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","P. Campbell","WR","IND","NYG","2023-01-01T18:00:00Z","32.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","D. Bellinger","TE","NYG","IND","2023-01-01T18:00:00Z","24.5","over","-112","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","D. Slayton","WR","NYG","IND","2023-01-01T18:00:00Z","49.5","over","-114","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","D. Moore","WR","CAR","TB","2023-01-01T18:00:00Z","57.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","I. Thomas","TE","CAR","TB","2023-01-01T18:00:00Z","7.5","over","-120","undefined","null","null","under","-110","undefined","null","null"
"recv_yd","T. Marshall Jr.","WR","CAR","TB","2023-01-01T18:00:00Z","35.5","over","-109","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","T. Tremble","TE","CAR","TB","2023-01-01T18:00:00Z","9.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","C. Godwin","WR","TB","CAR","2023-01-01T18:00:00Z","69.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","L. Fournette","RB","TB","CAR","2023-01-01T18:00:00Z","27.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","M. Evans","WR","TB","CAR","2023-01-01T18:00:00Z","58.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","R. White","RB","TB","CAR","2023-01-01T18:00:00Z","15.5","over","-113","undefined","null","null","under","-118","undefined","null","null"
"recv_yd","G. Wilson","WR","NYJ","SEA","2023-01-01T21:05:00Z","65.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","T. Conklin","TE","NYJ","SEA","2023-01-01T21:05:00Z","26.5","over","-118","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","K. Walker III","RB","SEA","NYJ","2023-01-01T21:05:00Z","10.5","over","-108","undefined","null","null","under","-127","undefined","null","null"
"recv_yd","A. Thielen","WR","MIN","GB","2023-01-01T21:25:00Z","43.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","J. Jefferson","WR","MIN","GB","2023-01-01T21:25:00Z","96.5","over","-121","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","C. Akers","RB","LA","LAC","2023-01-01T21:25:00Z","12.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","T. Higbee","TE","LA","LAC","2023-01-01T21:25:00Z","42.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","V. Jefferson","WR","LA","LAC","2023-01-01T21:25:00Z","37.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","N. Harris","RB","PIT","BLT","2023-01-02T01:20:00Z","11.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
