"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_yd","D. Knox","TE","BUF","NE","2022-12-02T01:15:00Z","32.5","over","-120","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Singletary","RB","BUF","NE","2022-12-02T01:15:00Z","11.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","G. Davis","WR","BUF","NE","2022-12-02T01:15:00Z","48.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","I. McKenzie","WR","BUF","NE","2022-12-02T01:15:00Z","32.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","S. Diggs","WR","BUF","NE","2022-12-02T01:15:00Z","81.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. Parker","WR","NE","BUF","2022-12-02T01:15:00Z","35.5","over","-110","undefined","null","null","under","-123","undefined","null","null"
"recv_yd","H. Henry","TE","NE","BUF","2022-12-02T01:15:00Z","24.5","over","-119","undefined","null","null","under","-112","undefined","null","null"
"recv_yd","J. Meyers","WR","NE","BUF","2022-12-02T01:15:00Z","50.5","over","-106","undefined","null","null","under","-127","undefined","null","null"
"recv_yd","J. Smith","TE","NE","BUF","2022-12-02T01:15:00Z","13.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","R. Stevenson","RB","NE","BUF","2022-12-02T01:15:00Z","35.5","over","-117","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","D. Slayton","WR","NYG","WAS","2022-12-04T18:00:00Z","46.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","S. Barkley","RB","NYG","WAS","2022-12-04T18:00:00Z","20.5","over","-115","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","A. Brown","WR","PHI","TEN","2022-12-04T18:00:00Z","74.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Smith","WR","PHI","TEN","2022-12-04T18:00:00Z","59.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","Q. Watkins","WR","PHI","TEN","2022-12-04T18:00:00Z","24.5","over","-121","undefined","null","null","under","-111","undefined","null","null"
"recv_yd","A. Hooper","TE","TEN","PHI","2022-12-04T18:00:00Z","20.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","D. Henry","RB","TEN","PHI","2022-12-04T18:00:00Z","13.5","over","-111","undefined","null","null","under","-121","undefined","null","null"
"recv_yd","D. Hilliard","RB","TEN","PHI","2022-12-04T18:00:00Z","10.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","N. Westbrook-Ikhine","WR","TEN","PHI","2022-12-04T18:00:00Z","23.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","R. Woods","WR","TEN","PHI","2022-12-04T18:00:00Z","36.5","over","-113","undefined","null","null","under","-119","undefined","null","null"
"recv_yd","T. Burks","WR","TEN","PHI","2022-12-04T18:00:00Z","42.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","C. Wilson","WR","MIA","SF","2022-12-04T21:05:00Z","7.5","over","-110","undefined","null","null","under","-120","undefined","null","null"
"recv_yd","J. Waddle","WR","MIA","SF","2022-12-04T21:05:00Z","66.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","M. Gesicki","TE","MIA","SF","2022-12-04T21:05:00Z","21.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"recv_yd","T. Sherfield","WR","MIA","SF","2022-12-04T21:05:00Z","22.5","over","-119","undefined","null","null","under","-113","undefined","null","null"
"recv_yd","T. Hill","WR","MIA","SF","2022-12-04T21:05:00Z","89.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","B. Aiyuk","WR","SF","MIA","2022-12-04T21:05:00Z","54.5","over","-118","undefined","null","null","under","-114","undefined","null","null"
"recv_yd","D. Samuel","WR","SF","MIA","2022-12-04T21:05:00Z","50.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_yd","G. Kittle","TE","SF","MIA","2022-12-04T21:05:00Z","43.5","over","-117","undefined","null","null","under","-115","undefined","null","null"
"recv_yd","J. Jennings","WR","SF","MIA","2022-12-04T21:05:00Z","20.5","over","-120","undefined","null","null","under","-112","undefined","null","null"
