propType,player,position,team,opponent,start,line,sideOneType,sideOneOdds,sideOneValue,sideOneCash,sideOneTickets,sideTwoType,sideTwoOdds,sideTwoValue,sideTwoCash,sideTwoTickets
recv_yd,C. Lamb,WR,DAL,IND,2022-12-05T01:20:00Z,68.5,over,-121,undefined,null,null,under,-112,undefined,null,null
recv_yd,D. Schultz,TE,DAL,IND,2022-12-05T01:20:00Z,38.5,over,-115,undefined,null,null,under,-117,undefined,null,null
recv_yd,E. Elliott,RB,DAL,IND,2022-12-05T01:20:00Z,4.5,over,-114,undefined,null,null,under,-114,undefined,null,null
recv_yd,J. Ferguson,TE,DAL,IND,2022-12-05T01:20:00Z,10.5,over,-114,undefined,null,null,under,-119,undefined,null,null
recv_yd,M. Gallup,WR,DAL,IND,2022-12-05T01:20:00Z,38.5,over,-110,undefined,null,null,under,-120,undefined,null,null
recv_yd,N. Brown,WR,DAL,IND,2022-12-05T01:20:00Z,20.5,over,-120,undefined,null,null,under,-114,undefined,null,null
recv_yd,T. Pollard,RB,DAL,IND,2022-12-05T01:20:00Z,16.5,over,-112,undefined,null,null,under,-122,undefined,null,null
recv_yd,A. Pierce,WR,IND,DAL,2022-12-05T01:20:00Z,27.5,over,-109,undefined,null,null,under,-120,undefined,null,null
recv_yd,J. Taylor,RB,IND,DAL,2022-12-05T01:20:00Z,17.5,over,-114,undefined,null,null,under,-118,undefined,null,null
recv_yd,M. Pittman Jr.,WR,IND,DAL,2022-12-05T01:20:00Z,60.5,over,-119,undefined,null,null,under,-114,undefined,null,null
recv_yd,P. Campbell,WR,IND,DAL,2022-12-05T01:20:00Z,37.5,over,-119,undefined,null,null,under,-113,undefined,null,null
