receiver_player_name,posteam,week,week#,targets,complete_pass,yards_gained,air_yards,xYards,cp,implied_posteam_total,goal_to_go,qb_hit,middle,yards_after_catch,xyac_mean_yardage,team_attempts,team_air_yards,szn,target_week
A.Green,ARI,1,1,4,2.0,13.0,42.0,35.59587239035324,2.678441882133484,24.0,0,0.0,1,0.0,8.5277142036066,36,266.0,2022,2
A.Isabella,ARI,1,1,3,1.0,10.0,30.0,26.271293732255522,2.055913507938386,24.0,0,0.0,1,4.0,4.82030671823304,36,266.0,2022,2
E.Benjamin,ARI,1,1,4,3.0,33.0,2.0,21.742390870827442,3.079082190990449,24.0,0,1.0,2,35.0,23.30014201557788,36,266.0,2022,2
G.Dortch,ARI,1,1,9,7.0,63.0,62.0,65.93010850272032,6.371063172817231,24.0,0,1.0,0,31.0,40.47170759410801,36,266.0,2022,2
J.Conner,ARI,1,1,6,5.0,29.0,7.0,36.79770583267185,4.790721207857132,24.0,0,1.0,1,38.0,41.55813226725158,36,266.0,2022,2
M.Brown,ARI,1,1,6,4.0,43.0,101.0,54.37654589840941,3.1117827892303467,24.0,1,0.0,1,3.0,20.65893301132021,36,266.0,2022,2
Z.Ertz,ARI,1,1,4,2.0,14.0,22.0,19.368217636541424,2.474409103393556,24.0,2,0.0,1,4.0,5.332408749782194,36,266.0,2022,2
A.Baccellia,ARI,2,2,2,2.0,12.0,7.0,12.569514248187353,1.6229745149612431,23.0,0,0.0,0,5.0,9.80251755725476,47,239.0,2022,3
A.Green,ARI,2,2,7,3.0,16.0,49.0,44.26628186759328,4.595649421215057,23.0,2,0.0,0,9.0,17.77485183082899,47,239.0,2022,3
D.Williams,ARI,2,2,3,2.0,3.0,-1.0,13.874316097431945,2.4431369304656982,23.0,1,0.0,1,2.0,12.91640457393078,47,239.0,2022,3
E.Benjamin,ARI,2,2,4,3.0,20.0,-10.0,16.568488573237033,2.992061913013458,23.0,0,2.0,0,26.0,24.77715228596938,47,239.0,2022,3
G.Dortch,ARI,2,2,4,4.0,55.0,21.0,25.05453487187992,2.7803846895694733,23.0,1,0.0,0,34.0,16.19013901299332,47,239.0,2022,3
J.Conner,ARI,2,2,4,2.0,26.0,19.0,30.075573677204115,3.088276118040085,23.0,0,0.0,1,28.0,17.712076883668438,47,239.0,2022,3
M.Brown,ARI,2,2,11,6.0,68.0,94.0,80.61004687103407,7.501634567975999,23.0,1,0.0,2,25.0,28.02330086621805,47,239.0,2022,3
S.Anderson,ARI,2,2,1,1.0,2.0,2.0,5.805799758763068,0.830916464328766,23.0,0,0.0,0,0.0,5.53708580024249,47,239.0,2022,3
Z.Ertz,ARI,2,2,11,8.0,75.0,58.0,66.00990604890399,7.766342818737032,23.0,2,1.0,4,33.0,39.49666815911045,47,239.0,2022,3
A.Baccellia,ARI,3,3,4,2.0,13.0,48.0,33.4147634236659,2.626294821500779,22.75,0,0.0,0,4.0,8.143498491190261,55,332.0,2022,4
A.Isabella,ARI,3,3,2,1.0,11.0,40.0,15.252630150338526,0.867827951908112,22.75,0,0.0,0,1.0,4.08187870423717,55,332.0,2022,4
E.Benjamin,ARI,3,3,4,2.0,7.0,-13.0,17.815921265936954,3.348551869392396,22.75,0,0.0,1,17.0,19.4179343551805,55,332.0,2022,4
G.Dortch,ARI,3,3,10,9.0,80.0,38.0,63.68523154270612,7.844240665435792,22.75,0,0.0,1,48.0,57.327844712868696,55,332.0,2022,4
J.Conner,ARI,3,3,5,3.0,18.0,-1.0,24.788527503744955,4.065880537033081,22.75,1,0.0,0,16.0,19.69899726756558,55,332.0,2022,4
M.Brown,ARI,3,3,17,14.0,140.0,140.0,124.71442856388285,12.233492732048036,22.75,0,0.0,1,59.0,66.92915785581135,55,332.0,2022,4
Z.Ertz,ARI,3,3,10,6.0,45.0,59.0,63.14010929600893,6.817826986312867,22.75,1,2.0,4,21.0,30.700439045795072,55,332.0,2022,4
E.Benjamin,ARI,4,4,1,1.0,9.0,0.0,5.466465568772653,0.723684310913086,21.5,0,0.0,0,9.0,6.91321733577934,31,182.0,2022,5
G.Dortch,ARI,4,4,1,1.0,6.0,6.0,6.667368332091093,0.730185270309448,21.5,0,0.0,0,0.0,3.30059321754379,31,182.0,2022,5
J.Conner,ARI,4,4,3,3.0,22.0,-5.0,16.18466413337782,2.434153437614441,21.5,0,0.0,1,27.0,25.40900980042351,31,182.0,2022,5
M.Brown,ARI,4,4,11,6.0,88.0,85.0,84.33450748345456,7.063809186220168,21.5,0,1.0,0,18.0,26.578585805189498,31,182.0,2022,5
R.Moore,ARI,4,4,5,3.0,11.0,58.0,43.292059820618704,3.2143575251102456,21.5,0,0.0,0,10.0,22.801187817880418,31,182.0,2022,5
T.McBride,ARI,4,4,3,3.0,24.0,12.0,21.028633698995012,2.263373374938965,21.5,0,0.0,1,12.0,17.06390830622695,31,182.0,2022,5
Z.Ertz,ARI,4,4,6,6.0,47.0,36.0,38.57300419460309,4.237499833106996,21.5,1,0.0,3,11.0,20.005196428566695,31,182.0,2022,5
A.Green,ARI,5,5,5,3.0,20.0,79.0,44.593090949396775,2.910767287015916,21.5,0,0.0,0,3.0,12.243165492356638,38,293.0,2022,6
E.Benjamin,ARI,5,5,4,3.0,28.0,-1.0,22.69329806189703,3.3576207160949703,21.5,0,0.0,1,32.0,23.941247467526452,38,293.0,2022,6
J.Conner,ARI,5,5,1,1.0,8.0,1.0,3.4297862509512305,0.568557858467102,21.5,0,1.0,0,7.0,6.13950359360024,38,293.0,2022,6
M.Brown,ARI,5,5,10,8.0,78.0,98.0,92.68810393610237,7.317681819200515,21.5,0,0.0,4,34.0,41.08524052763824,38,293.0,2022,6
R.Moore,ARI,5,5,8,7.0,68.0,18.0,49.268956606796635,6.323988616466522,21.5,1,0.0,1,52.0,49.61113550576558,38,293.0,2022,6
Z.Ertz,ARI,5,5,10,6.0,48.0,98.0,82.29588060212838,6.826342761516571,21.5,1,0.0,3,16.0,29.54450482380343,38,293.0,2022,6
A.Green,ARI,6,6,4,2.0,7.0,36.0,23.52562509810167,2.50577050447464,26.25,1,0.0,0,0.0,9.30948472942691,36,340.0,2022,7
E.Benjamin,ARI,6,6,3,3.0,28.0,-8.0,18.000989428022212,2.450367867946625,26.25,0,0.0,0,36.0,26.11371634036193,36,340.0,2022,7
M.Brown,ARI,6,6,9,5.0,68.0,151.0,102.64480494140236,5.008421689271927,26.25,0,0.0,1,20.0,22.53734379156959,36,340.0,2022,7
R.Moore,ARI,6,6,10,6.0,49.0,44.0,70.8163151741028,7.192321628332138,26.25,0,1.0,2,47.0,43.16655991325383,36,340.0,2022,7
Z.Ertz,ARI,6,6,10,7.0,70.0,117.0,88.22956894725725,5.64139872789383,26.25,0,1.0,3,11.0,36.41194867221931,36,340.0,2022,7
D.Hopkins,ARI,7,7,14,10.0,103.0,131.0,114.83009620306257,9.817323833703997,23.25,0,0.0,2,16.0,42.57437072487665,29,216.0,2022,8
E.Benjamin,ARI,7,7,5,4.0,21.0,-11.0,23.951324196333964,4.0438395142555255,23.25,1,0.0,0,35.0,37.44664424299846,29,216.0,2022,8
G.Dortch,ARI,7,7,1,1.0,5.0,4.0,2.921463638761077,0.659675002098084,23.25,1,0.0,1,1.0,0.727963603683747,29,216.0,2022,8
K.Ingram,ARI,7,7,2,2.0,23.0,-4.0,10.049663569283245,1.649960398674011,23.25,0,0.0,0,27.0,16.98180847584441,29,216.0,2022,8
R.Moore,ARI,7,7,2,1.0,31.0,26.0,15.418789419097951,0.93989622592926,23.25,1,0.0,0,15.0,5.53717641872936,29,216.0,2022,8
Z.Ertz,ARI,7,7,4,2.0,21.0,28.0,31.020628400680373,2.91286027431488,23.25,1,0.0,3,0.0,6.5684214744615,29,216.0,2022,8
D.Hopkins,ARI,8,8,13,12.0,159.0,162.0,108.30256389696231,8.11933559179306,22.25,1,1.0,1,16.0,41.517813761078294,43,288.0,2022,9
D.Williams,ARI,8,8,3,2.0,6.0,-10.0,16.590431398725787,2.6748632192611703,22.25,0,0.0,0,13.0,19.28614015634233,43,288.0,2022,9
E.Benjamin,ARI,8,8,7,4.0,23.0,-3.0,40.4733094745671,5.943194031715394,22.25,0,0.0,1,22.0,29.42631548393546,43,288.0,2022,9
G.Dortch,ARI,8,8,3,2.0,12.0,2.0,19.001748570507328,2.4939002990722647,22.25,0,0.0,1,14.0,17.24430216597833,43,288.0,2022,9
R.Moore,ARI,8,8,8,7.0,92.0,10.0,46.39703063442271,6.660269796848298,22.25,0,0.0,1,87.0,49.2987625166715,43,288.0,2022,9
Z.Ertz,ARI,8,8,5,4.0,34.0,27.0,38.83450225227804,3.896106958389282,22.25,1,0.0,2,27.0,24.54110089460299,43,288.0,2022,9
D.Hopkins,ARI,9,9,5,4.0,36.0,29.0,36.957983929911165,3.85620129108429,25.5,0,0.0,1,19.0,16.47964128322201,33,186.0,2022,10
E.Benjamin,ARI,9,9,1,1.0,15.0,5.0,6.83186699147817,0.770678341388702,25.5,0,0.0,0,10.0,4.32422744532232,33,186.0,2022,10
G.Dortch,ARI,9,9,1,1.0,0.0,0.0,6.678697152631049,0.79115092754364,25.5,0,0.0,0,0.0,8.11029236173636,33,186.0,2022,10
J.Conner,ARI,9,9,5,5.0,19.0,-12.0,29.326025792601268,4.296239614486695,25.5,0,0.0,2,31.0,45.46138197687833,33,186.0,2022,10
R.Anderson,ARI,9,9,3,1.0,-4.0,26.0,29.828251505899743,2.097995638847351,25.5,0,0.0,1,0.0,10.346145765172,33,186.0,2022,10
R.Moore,ARI,9,9,10,8.0,69.0,43.0,71.0347449939133,7.794455409049989,25.5,0,0.0,1,35.0,45.41332260019412,33,186.0,2022,10
Z.Ertz,ARI,9,9,8,5.0,40.0,95.0,72.80718134447426,5.044002234935763,25.5,1,0.0,4,3.0,16.61760055943887,33,186.0,2022,10
A.Green,ARI,10,10,2,2.0,10.0,10.0,7.875284030311878,1.184402525424957,17.25,1,0.0,0,0.0,4.25136228097836,35,223.0,2022,11
D.Hopkins,ARI,10,10,14,10.0,98.0,96.0,96.2216920692108,9.800170838832855,17.25,1,1.0,2,30.0,54.003259611934475,35,223.0,2022,11
J.Conner,ARI,10,10,3,3.0,17.0,-6.0,12.88158194111493,2.589148581027985,17.25,0,0.0,0,23.0,22.45430056242912,35,223.0,2022,11
R.Moore,ARI,10,10,13,9.0,94.0,110.0,86.95350742312975,8.964002639055254,17.25,0,2.0,3,35.0,51.96622932500027,35,223.0,2022,11
T.McBride,ARI,10,10,1,1.0,7.0,5.0,5.597159731205065,0.778075397014618,17.25,0,0.0,0,2.0,3.49674924369901,35,223.0,2022,11
Z.Ertz,ARI,10,10,1,1.0,12.0,8.0,8.443383164826715,0.700349390506744,17.25,0,0.0,1,4.0,4.20648353602155,35,223.0,2022,11
A.Firkser,ATL,1,1,2,1.0,6.0,8.0,9.525951183707008,1.4982079863548279,18.75,1,0.0,0,2.0,4.50043439363071,32,282.0,2022,2
A.Williams,ATL,1,1,1,1.0,8.0,-7.0,2.666463291390202,0.840828835964203,18.75,0,0.0,0,15.0,11.6724950701464,32,282.0,2022,2
C.Patterson,ATL,1,1,5,3.0,16.0,18.0,32.46475843095587,3.916367590427398,18.75,0,0.0,0,10.0,17.171968209840998,32,282.0,2022,2
D.London,ATL,1,1,7,5.0,74.0,88.0,61.27781050673717,4.462701827287674,18.75,0,1.0,2,18.0,21.749723109714992,32,282.0,2022,2
K.Hodge,ATL,1,1,3,3.0,38.0,25.0,23.288005840171834,2.278090298175811,18.75,0,0.0,2,13.0,11.40841410889698,32,282.0,2022,2
K.Pitts,ATL,1,1,7,2.0,19.0,93.0,66.14492695678291,4.5350691974163055,18.75,0,0.0,3,6.0,8.114935151941609,32,282.0,2022,2
O.Zaccheaus,ATL,1,1,4,4.0,49.0,39.0,34.82296306483184,2.8702635169029254,18.75,0,0.0,0,10.0,20.23693119558447,32,282.0,2022,2
P.Hesse,ATL,1,1,2,1.0,5.0,9.0,12.78133319281909,1.435858845710754,18.75,0,0.0,2,4.0,6.68392213681364,32,282.0,2022,2
A.Williams,ATL,2,2,1,1.0,6.0,-3.0,5.730721779288661,0.901098668575287,18.0,0,0.0,0,9.0,10.3553117022384,25,202.0,2022,3
B.Edwards,ATL,2,2,2,1.0,2.0,26.0,12.702651834459363,1.208672791719437,18.0,0,0.0,1,0.0,4.21334016125184,25,202.0,2022,3
D.London,ATL,2,2,12,8.0,86.0,94.0,84.96033285489668,8.21512648463249,18.0,1,0.0,2,38.0,40.52277337513806,25,202.0,2022,3
K.Hodge,ATL,2,2,3,2.0,57.0,37.0,25.89204022733734,2.013986051082611,18.0,0,0.0,0,26.0,7.9139069677476,25,202.0,2022,3
K.Pitts,ATL,2,2,3,2.0,19.0,25.0,16.16928746521375,1.659619837999344,18.0,1,1.0,0,2.0,7.98580780738848,25,202.0,2022,3
O.Zaccheaus,ATL,2,2,2,2.0,21.0,15.0,13.54132734186468,1.3757903575897221,18.0,0,0.0,1,6.0,6.11114921598346,25,202.0,2022,3
P.Hesse,ATL,2,2,1,1.0,5.0,4.0,3.423535555935541,0.536971867084503,18.0,0,1.0,0,1.0,2.69654251442989,25,202.0,2022,3
A.Firkser,ATL,3,3,1,1.0,22.0,14.0,12.897833662162977,0.696633458137512,21.0,0,0.0,1,8.0,4.11131434340496,19,312.0,2022,4
C.Patterson,ATL,3,3,1,1.0,12.0,-2.0,5.533263967693181,0.871897339820862,21.0,0,0.0,0,14.0,7.98904849292012,19,312.0,2022,4
D.London,ATL,3,3,6,3.0,54.0,90.0,50.9559526680513,3.432323634624481,21.0,0,1.0,1,23.0,17.197627292596728,19,312.0,2022,4
K.Pitts,ATL,3,3,8,5.0,87.0,165.0,84.81865048734636,3.909852743148805,21.0,0,1.0,2,35.0,28.726141547187588,19,312.0,2022,4
O.Zaccheaus,ATL,3,3,2,2.0,49.0,49.0,20.660655575176776,0.730701416730881,21.0,0,1.0,0,0.0,9.749241655867081,19,312.0,2022,4
T.Allgeier,ATL,3,3,1,1.0,5.0,-4.0,5.512899414460086,0.881696224212647,21.0,0,0.0,0,9.0,9.82701078431273,19,312.0,2022,4
D.London,ATL,4,4,7,2.0,17.0,62.0,55.333277270488786,4.760036200284959,23.5,0,0.0,2,5.0,8.63955386314046,18,240.0,2022,5
K.Pitts,ATL,4,4,4,1.0,25.0,63.0,46.08865020859071,2.411993950605392,23.5,0,0.0,2,5.0,6.99067511523026,18,240.0,2022,5
O.Zaccheaus,ATL,4,4,2,2.0,55.0,35.0,21.538259509691006,0.977719038724899,23.5,0,1.0,1,20.0,10.73976579522423,18,240.0,2022,5
P.Hesse,ATL,4,4,1,1.0,22.0,17.0,8.565799387603553,0.408337533473969,23.5,0,1.0,0,5.0,3.36933279538061,18,240.0,2022,5
T.Allgeier,ATL,4,4,1,1.0,20.0,-1.0,5.475059097957871,0.88490355014801,23.5,0,0.0,0,21.0,8.18468189847772,18,240.0,2022,5
A.Firkser,ATL,5,5,1,1.0,11.0,11.0,6.7864772070906865,0.563524723052979,17.75,0,0.0,0,0.0,2.90833623064827,24,213.0,2022,6
A.Williams,ATL,5,5,2,2.0,10.0,-5.0,8.376510972351877,1.488107562065125,17.75,0,1.0,0,15.0,18.8509823901768,24,213.0,2022,6
B.Edwards,ATL,5,5,1,1.0,10.0,5.0,6.224453938699663,0.773027181625366,17.75,0,0.0,0,5.0,4.46101904750685,24,213.0,2022,6
D.London,ATL,5,5,7,4.0,35.0,58.0,48.6472799963763,4.281740635633468,17.75,0,2.0,0,6.0,18.55405408475781,24,213.0,2022,6
K.Hodge,ATL,5,5,5,3.0,33.0,35.0,34.49856407287355,3.351844400167466,17.75,0,1.0,1,20.0,20.16183348198685,24,213.0,2022,6
O.Zaccheaus,ATL,5,5,4,2.0,39.0,39.0,34.75461998596584,2.805836200714111,17.75,0,0.0,2,14.0,9.50455503660487,24,213.0,2022,6
P.Hesse,ATL,5,5,1,1.0,9.0,6.0,7.757717520821309,0.790501534938812,17.75,0,0.0,1,3.0,4.41865240679181,24,213.0,2022,6
A.Williams,ATL,6,6,1,1.0,2.0,-6.0,5.246253174963348,0.89497709274292,21.25,0,0.0,0,8.0,11.5883622042675,14,77.0,2022,7
D.London,ATL,6,6,4,3.0,40.0,36.0,33.248127155851066,2.796029150485993,21.25,0,0.0,1,9.0,13.525947829271889,14,77.0,2022,7
K.Pitts,ATL,6,6,3,3.0,19.0,18.0,16.609105109860913,2.104111254215241,21.25,1,0.0,1,1.0,7.47201396220043,14,77.0,2022,7
K.Smith,ATL,6,6,1,1.0,8.0,0.0,5.489668457329265,0.778768718242645,21.25,0,0.0,0,8.0,7.04354087607499,14,77.0,2022,7
M.Pruitt,ATL,6,6,1,1.0,2.0,2.0,1.2355490581973492,0.588517904281616,21.25,1,0.0,0,0.0,0.0,14,77.0,2022,7
O.Zaccheaus,ATL,6,6,4,4.0,58.0,27.0,33.97184745913209,3.122537314891816,21.25,0,0.0,2,31.0,20.964175613095,14,77.0,2022,7
D.Byrd,ATL,7,7,1,1.0,75.0,41.0,18.5291416861197,0.366054266691208,20.5,0,0.0,1,34.0,10.843649827817,12,100.0,2022,8
D.London,ATL,7,7,1,1.0,9.0,5.0,6.08669949803035,0.763818800449371,20.5,0,0.0,0,4.0,3.91126107106538,12,100.0,2022,8
K.Pitts,ATL,7,7,5,3.0,9.0,20.0,26.139312634229,3.131375253200531,20.5,1,1.0,1,3.0,12.06705612222141,12,100.0,2022,8
O.Zaccheaus,ATL,7,7,4,3.0,31.0,37.0,29.353298704750063,2.4453258514404297,20.5,0,1.0,1,2.0,10.44834163309861,12,100.0,2022,8
A.Williams,ATL,8,8,2,2.0,7.0,0.0,11.356418280131688,1.650248348712922,22.75,0,0.0,0,7.0,14.00395145281073,28,305.0,2022,9
B.Edwards,ATL,8,8,1,1.0,3.0,-1.0,3.3556655951407293,0.860133111476898,22.75,1,0.0,0,4.0,6.39315945655108,28,305.0,2022,9
D.Byrd,ATL,8,8,6,3.0,67.0,190.0,69.12601841924504,2.6761469542980203,22.75,0,2.0,2,37.0,11.44664271847432,28,305.0,2022,9
D.London,ATL,8,8,5,4.0,31.0,59.0,43.728837464367004,3.337641179561616,22.75,0,0.0,0,7.0,19.80789553467185,28,305.0,2022,9
K.Pitts,ATL,8,8,9,5.0,80.0,57.0,52.474304314962914,5.579524904489517,22.75,1,3.0,3,44.0,17.604023747713658,28,305.0,2022,9
O.Zaccheaus,ATL,8,8,1,1.0,10.0,0.0,5.5398478399903714,0.769556105136871,22.75,0,0.0,0,10.0,6.95473916475021,28,305.0,2022,9
P.Hesse,ATL,8,8,1,1.0,9.0,8.0,7.188191175329862,0.713315427303314,22.75,0,0.0,0,1.0,3.313515664835,28,305.0,2022,9
T.Allgeier,ATL,8,8,3,3.0,46.0,-8.0,17.522474664026014,2.621080160140991,22.75,0,0.0,1,54.0,29.01638388745784,28,305.0,2022,9
